profile_file,source_path,artifact_path,profile_kind,provider_used,reliability_score,hallucination_risk,status,reason
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\docx_2_anonyme.json,data\raw_cv\docx\2_anonyme.docx,data\processed_official_module1\docx\2_anonyme.json,partial_profile,groq_secondary,0.6315,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\images_1_image.json,data\raw_cv\images\1_image.jpg,data\processed_official_module1\images\1_image.json,minimal_profile,ollama_local,0.1746,high,success,"low_grounded_reliability,summary_not_enough_evidence,template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\images_2_image.json,data\raw_cv\images\2_image.jpg,data\processed_official_module1\images\2_image.json,partial_profile,ollama_local,0.6713,medium,success,"summary_not_enough_evidence,template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\images_7_image.json,data\raw_cv\images\7_image.jpg,data\processed_official_module1\images\7_image.json,partial_profile,ollama_local,0.6119,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\images_khairi_image.json,data\raw_cv\images\khairi_image.jpg,data\processed_official_module1\images\khairi_image.json,partial_profile,ollama_local,0.4984,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV10.json,data\raw_cv\pdf\CV10.pdf,data\processed_official_module1\pdf\CV10.json,partial_profile,groq_secondary,0.6665,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV11.json,data\raw_cv\pdf\CV11.pdf,data\processed_official_module1\pdf\CV11.json,partial_profile,groq_secondary,0.7445,medium,success,"summary_not_enough_evidence,template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV17.json,data\raw_cv\pdf\CV17.pdf,data\processed_official_module1\pdf\CV17.json,partial_profile,groq_secondary,0.5812,medium,success,"template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV18.json,data\raw_cv\pdf\CV18.pdf,data\processed_official_module1\pdf\CV18.json,partial_profile,groq_secondary,0.6995,medium,success,"summary_not_enough_evidence,template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV25.json,data\raw_cv\pdf\CV25.pdf,data\processed_official_module1\pdf\CV25.json,partial_profile,ollama_local,0.619,medium,success,unsupported_fields_nullified
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV34.json,data\raw_cv\pdf\CV34.pdf,data\processed_official_module1\pdf\CV34.json,partial_profile,groq_secondary,0.7195,medium,success,"summary_not_enough_evidence,template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_CV38.json,data\raw_cv\pdf\CV38.pdf,data\processed_official_module1\pdf\CV38.json,partial_profile,groq_secondary,0.6444,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_Image_63.json,data\raw_cv\pdf\Image_63.pdf,data\processed_official_module1\pdf\Image_63.json,partial_profile,ollama_local,0.6523,medium,success,"summary_not_enough_evidence,template_detected,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_Image_76.json,data\raw_cv\pdf\Image_76.pdf,data\processed_official_module1\pdf\Image_76.json,partial_profile,ollama_local,0.7453,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_Image_77.json,data\raw_cv\pdf\Image_77.pdf,data\processed_official_module1\pdf\Image_77.json,partial_profile,ollama_local,0.6429,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_Image_80.json,data\raw_cv\pdf\Image_80.pdf,data\processed_official_module1\pdf\Image_80.json,partial_profile,ollama_local,0.6301,medium,success,"summary_not_enough_evidence,unsupported_fields_nullified"
data\profile_builder_module2_v2_grounded_all\profiles\grounded_profiles\pdf_khairi_resume.json,data\raw_cv\pdf\khairi_resume.pdf,data\processed_official_module1\pdf\khairi_resume.json,partial_profile,ollama_local,0.6774,medium,success,unsupported_fields_nullified
